year,month,collisions,date,trend,month_num,month_sin,month_cos,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_mean_6,rolling_mean_12
2006,1,522.0,2006-01-01,12,1,0.49999999999999994,0.8660254037844387,582.0,603.0,604.0,572.0,473.0,596.3333333333334,581.1666666666666,544.4166666666666
2006,2,406.0,2006-02-01,13,2,0.8660254037844386,0.5000000000000001,522.0,582.0,603.0,558.0,461.0,569.0,572.8333333333334,548.5
2006,3,467.0,2006-03-01,14,3,1.0,6.123233995736766e-17,406.0,522.0,582.0,568.0,498.0,503.3333333333333,547.5,543.9166666666666
2006,4,402.0,2006-04-01,15,4,0.8660254037844387,-0.4999999999999998,467.0,406.0,522.0,604.0,529.0,465.0,530.6666666666666,541.3333333333334
2006,5,487.0,2006-05-01,16,5,0.49999999999999994,-0.8660254037844387,402.0,467.0,406.0,603.0,561.0,425.0,497.0,530.75
2006,6,471.0,2006-06-01,17,6,1.2246467991473532e-16,-1.0,487.0,402.0,467.0,582.0,524.0,452.0,477.6666666666667,524.5833333333334
2006,7,512.0,2006-07-01,18,7,-0.4999999999999997,-0.8660254037844388,471.0,487.0,402.0,522.0,572.0,453.3333333333333,459.1666666666667,520.1666666666666
2006,8,523.0,2006-08-01,19,8,-0.8660254037844384,-0.5000000000000004,512.0,471.0,487.0,406.0,558.0,490.0,457.5,515.1666666666666
2006,9,518.0,2006-09-01,20,9,-1.0,-1.8369701987210297e-16,523.0,512.0,471.0,467.0,568.0,502.0,477.0,512.25
2006,10,562.0,2006-10-01,21,10,-0.8660254037844386,0.5000000000000001,518.0,523.0,512.0,402.0,604.0,517.6666666666666,485.5,508.0833333333333
2006,11,538.0,2006-11-01,22,11,-0.5000000000000004,0.8660254037844384,562.0,518.0,523.0,487.0,603.0,534.3333333333334,512.1666666666666,504.5833333333333
2006,12,610.0,2006-12-01,23,12,-2.4492935982947064e-16,1.0,538.0,562.0,518.0,471.0,582.0,539.3333333333334,520.6666666666666,499.1666666666667
2007,1,459.0,2007-01-01,24,1,0.49999999999999994,0.8660254037844387,610.0,538.0,562.0,512.0,522.0,570.0,543.8333333333334,501.5
2007,2,421.0,2007-02-01,25,2,0.8660254037844386,0.5000000000000001,459.0,610.0,538.0,523.0,406.0,535.6666666666666,535.0,496.25
2007,3,470.0,2007-03-01,26,3,1.0,6.123233995736766e-17,421.0,459.0,610.0,518.0,467.0,496.6666666666667,518.0,497.5
2007,4,386.0,2007-04-01,27,4,0.8660254037844387,-0.4999999999999998,470.0,421.0,459.0,562.0,402.0,450.0,510.0,497.75
2007,5,442.0,2007-05-01,28,5,0.49999999999999994,-0.8660254037844387,386.0,470.0,421.0,538.0,487.0,425.6666666666667,480.6666666666667,496.4166666666667
2007,6,448.0,2007-06-01,29,6,1.2246467991473532e-16,-1.0,442.0,386.0,470.0,610.0,471.0,432.6666666666667,464.6666666666667,492.6666666666667
2007,7,501.0,2007-07-01,30,7,-0.4999999999999997,-0.8660254037844388,448.0,442.0,386.0,459.0,512.0,425.3333333333333,437.6666666666667,490.75
2007,8,486.0,2007-08-01,31,8,-0.8660254037844384,-0.5000000000000004,501.0,448.0,442.0,421.0,523.0,463.6666666666667,444.6666666666667,489.8333333333333
2007,9,456.0,2007-09-01,32,9,-1.0,-1.8369701987210297e-16,486.0,501.0,448.0,470.0,518.0,478.3333333333333,455.5,486.75
2007,10,475.0,2007-10-01,33,10,-0.8660254037844386,0.5000000000000001,456.0,486.0,501.0,386.0,562.0,481.0,453.1666666666667,481.5833333333333
2007,11,469.0,2007-11-01,34,11,-0.5000000000000004,0.8660254037844384,475.0,456.0,486.0,442.0,538.0,472.3333333333333,468.0,474.3333333333333
2007,12,454.0,2007-12-01,35,12,-2.4492935982947064e-16,1.0,469.0,475.0,456.0,448.0,610.0,466.6666666666667,472.5,468.5833333333333
2008,1,569.0,2008-01-01,36,1,0.49999999999999994,0.8660254037844387,454.0,469.0,475.0,501.0,459.0,466.0,473.5,455.5833333333333
2008,2,590.0,2008-02-01,37,2,0.8660254037844386,0.5000000000000001,569.0,454.0,469.0,486.0,421.0,497.3333333333333,484.8333333333333,464.75
2008,3,553.0,2008-03-01,38,3,1.0,6.123233995736766e-17,590.0,569.0,454.0,456.0,470.0,537.6666666666666,502.1666666666667,478.8333333333333
2008,4,537.0,2008-04-01,39,4,0.8660254037844387,-0.4999999999999998,553.0,590.0,569.0,475.0,386.0,570.6666666666666,518.3333333333334,485.75
2008,5,590.0,2008-05-01,40,5,0.49999999999999994,-0.8660254037844387,537.0,553.0,590.0,469.0,442.0,560.0,528.6666666666666,498.3333333333333
2008,6,531.0,2008-06-01,41,6,1.2246467991473532e-16,-1.0,590.0,537.0,553.0,454.0,448.0,560.0,548.8333333333334,510.6666666666667
2008,7,525.0,2008-07-01,42,7,-0.4999999999999997,-0.8660254037844388,531.0,590.0,537.0,569.0,501.0,552.6666666666666,561.6666666666666,517.5833333333334
2008,8,508.0,2008-08-01,43,8,-0.8660254037844384,-0.5000000000000004,525.0,531.0,590.0,590.0,486.0,548.6666666666666,554.3333333333334,519.5833333333334
2008,9,561.0,2008-09-01,44,9,-1.0,-1.8369701987210297e-16,508.0,525.0,531.0,553.0,456.0,521.3333333333334,540.6666666666666,521.4166666666666
2008,10,579.0,2008-10-01,45,10,-0.8660254037844386,0.5000000000000001,561.0,508.0,525.0,537.0,475.0,531.3333333333334,542.0,530.1666666666666
2008,11,605.0,2008-11-01,46,11,-0.5000000000000004,0.8660254037844384,579.0,561.0,508.0,590.0,469.0,549.3333333333334,549.0,538.8333333333334
2008,12,588.0,2008-12-01,47,12,-2.4492935982947064e-16,1.0,605.0,579.0,561.0,531.0,454.0,581.6666666666666,551.5,550.1666666666666
2009,1,565.0,2009-01-01,48,1,0.49999999999999994,0.8660254037844387,588.0,605.0,579.0,525.0,569.0,590.6666666666666,561.0,561.3333333333334
2009,2,433.0,2009-02-01,49,2,0.8660254037844386,0.5000000000000001,565.0,588.0,605.0,508.0,590.0,586.0,567.6666666666666,561.0
2009,3,493.0,2009-03-01,50,3,1.0,6.123233995736766e-17,433.0,565.0,588.0,561.0,553.0,528.6666666666666,555.1666666666666,547.9166666666666
2009,4,536.0,2009-04-01,51,4,0.8660254037844387,-0.4999999999999998,493.0,433.0,565.0,579.0,537.0,497.0,543.8333333333334,542.9166666666666
2009,5,583.0,2009-05-01,52,5,0.49999999999999994,-0.8660254037844387,536.0,493.0,433.0,605.0,590.0,487.3333333333333,536.6666666666666,542.8333333333334
2009,6,534.0,2009-06-01,53,6,1.2246467991473532e-16,-1.0,583.0,536.0,493.0,588.0,531.0,537.3333333333334,533.0,542.25
2009,7,628.0,2009-07-01,54,7,-0.4999999999999997,-0.8660254037844388,534.0,583.0,536.0,565.0,525.0,551.0,524.0,542.5
2009,8,591.0,2009-08-01,55,8,-0.8660254037844384,-0.5000000000000004,628.0,534.0,583.0,433.0,508.0,581.6666666666666,534.5,551.0833333333334
