"STATISTIC","Statistic Label","TLIST(A1)","Year","C02639V03196","Day of Week","UNIT","VALUE"
"ROA18C1","Fatal Collisions","2005","2005","-","All days","Number","360"
"ROA18C1","Fatal Collisions","2005","2005","1","Sunday","Number","82"
"ROA18C1","Fatal Collisions","2005","2005","2","Monday","Number","42"
"ROA18C1","Fatal Collisions","2005","2005","3","Tuesday","Number","28"
"ROA18C1","Fatal Collisions","2005","2005","4","Wednesday","Number","36"
"ROA18C1","Fatal Collisions","2005","2005","5","Thursday","Number","43"
"ROA18C1","Fatal Collisions","2005","2005","6","Friday","Number","54"
"ROA18C1","Fatal Collisions","2005","2005","7","Saturday","Number","75"
"ROA18C1","Fatal Collisions","2006","2006","-","All days","Number","321"
"ROA18C1","Fatal Collisions","2006","2006","1","Sunday","Number","70"
"ROA18C1","Fatal Collisions","2006","2006","2","Monday","Number","55"
"ROA18C1","Fatal Collisions","2006","2006","3","Tuesday","Number","41"
"ROA18C1","Fatal Collisions","2006","2006","4","Wednesday","Number","30"
"ROA18C1","Fatal Collisions","2006","2006","5","Thursday","Number","35"
"ROA18C1","Fatal Collisions","2006","2006","6","Friday","Number","41"
"ROA18C1","Fatal Collisions","2006","2006","7","Saturday","Number","49"
"ROA18C1","Fatal Collisions","2007","2007","-","All days","Number","309"
"ROA18C1","Fatal Collisions","2007","2007","1","Sunday","Number","66"
"ROA18C1","Fatal Collisions","2007","2007","2","Monday","Number","36"
"ROA18C1","Fatal Collisions","2007","2007","3","Tuesday","Number","34"
"ROA18C1","Fatal Collisions","2007","2007","4","Wednesday","Number","32"
"ROA18C1","Fatal Collisions","2007","2007","5","Thursday","Number","53"
"ROA18C1","Fatal Collisions","2007","2007","6","Friday","Number","34"
"ROA18C1","Fatal Collisions","2007","2007","7","Saturday","Number","54"
"ROA18C1","Fatal Collisions","2008","2008","-","All days","Number","254"
"ROA18C1","Fatal Collisions","2008","2008","1","Sunday","Number","52"
"ROA18C1","Fatal Collisions","2008","2008","2","Monday","Number","34"
"ROA18C1","Fatal Collisions","2008","2008","3","Tuesday","Number","32"
"ROA18C1","Fatal Collisions","2008","2008","4","Wednesday","Number","29"
"ROA18C1","Fatal Collisions","2008","2008","5","Thursday","Number","34"
"ROA18C1","Fatal Collisions","2008","2008","6","Friday","Number","31"
"ROA18C1","Fatal Collisions","2008","2008","7","Saturday","Number","42"
"ROA18C1","Fatal Collisions","2009","2009","-","All days","Number","220"
"ROA18C1","Fatal Collisions","2009","2009","1","Sunday","Number","47"
"ROA18C1","Fatal Collisions","2009","2009","2","Monday","Number","41"
"ROA18C1","Fatal Collisions","2009","2009","3","Tuesday","Number","28"
"ROA18C1","Fatal Collisions","2009","2009","4","Wednesday","Number","25"
"ROA18C1","Fatal Collisions","2009","2009","5","Thursday","Number","16"
"ROA18C1","Fatal Collisions","2009","2009","6","Friday","Number","29"
"ROA18C1","Fatal Collisions","2009","2009","7","Saturday","Number","34"
"ROA18C1","Fatal Collisions","2010","2010","-","All days","Number","185"
"ROA18C1","Fatal Collisions","2010","2010","1","Sunday","Number","42"
"ROA18C1","Fatal Collisions","2010","2010","2","Monday","Number","20"
"ROA18C1","Fatal Collisions","2010","2010","3","Tuesday","Number","21"
"ROA18C1","Fatal Collisions","2010","2010","4","Wednesday","Number","20"
"ROA18C1","Fatal Collisions","2010","2010","5","Thursday","Number","19"
"ROA18C1","Fatal Collisions","2010","2010","6","Friday","Number","26"
"ROA18C1","Fatal Collisions","2010","2010","7","Saturday","Number","37"
"ROA18C1","Fatal Collisions","2011","2011","-","All days","Number","172"
"ROA18C1","Fatal Collisions","2011","2011","1","Sunday","Number","30"
"ROA18C1","Fatal Collisions","2011","2011","2","Monday","Number","29"
"ROA18C1","Fatal Collisions","2011","2011","3","Tuesday","Number","26"
"ROA18C1","Fatal Collisions","2011","2011","4","Wednesday","Number","19"
"ROA18C1","Fatal Collisions","2011","2011","5","Thursday","Number","21"
"ROA18C1","Fatal Collisions","2011","2011","6","Friday","Number","29"
"ROA18C1","Fatal Collisions","2011","2011","7","Saturday","Number","18"
"ROA18C1","Fatal Collisions","2012","2012","-","All days","Number","152"
"ROA18C1","Fatal Collisions","2012","2012","1","Sunday","Number","38"
"ROA18C1","Fatal Collisions","2012","2012","2","Monday","Number","16"
"ROA18C1","Fatal Collisions","2012","2012","3","Tuesday","Number","11"
"ROA18C1","Fatal Collisions","2012","2012","4","Wednesday","Number","20"
"ROA18C1","Fatal Collisions","2012","2012","5","Thursday","Number","19"
"ROA18C1","Fatal Collisions","2012","2012","6","Friday","Number","22"
"ROA18C1","Fatal Collisions","2012","2012","7","Saturday","Number","26"
"ROA18C1","Fatal Collisions","2013","2013","-","All days","Number","179"
"ROA18C1","Fatal Collisions","2013","2013","1","Sunday","Number","32"
"ROA18C1","Fatal Collisions","2013","2013","2","Monday","Number","27"
"ROA18C1","Fatal Collisions","2013","2013","3","Tuesday","Number","19"
"ROA18C1","Fatal Collisions","2013","2013","4","Wednesday","Number","21"
"ROA18C1","Fatal Collisions","2013","2013","5","Thursday","Number","24"
"ROA18C1","Fatal Collisions","2013","2013","6","Friday","Number","32"
"ROA18C1","Fatal Collisions","2013","2013","7","Saturday","Number","24"
"ROA18C1","Fatal Collisions","2014","2014","-","All days","Number","178"
"ROA18C1","Fatal Collisions","2014","2014","1","Sunday","Number","29"
"ROA18C1","Fatal Collisions","2014","2014","2","Monday","Number","26"
"ROA18C1","Fatal Collisions","2014","2014","3","Tuesday","Number","18"
"ROA18C1","Fatal Collisions","2014","2014","4","Wednesday","Number","23"
"ROA18C1","Fatal Collisions","2014","2014","5","Thursday","Number","35"
"ROA18C1","Fatal Collisions","2014","2014","6","Friday","Number","24"
"ROA18C1","Fatal Collisions","2014","2014","7","Saturday","Number","23"
"ROA18C1","Fatal Collisions","2015","2015","-","All days","Number","155"
"ROA18C1","Fatal Collisions","2015","2015","1","Sunday","Number","29"
"ROA18C1","Fatal Collisions","2015","2015","2","Monday","Number","20"
"ROA18C1","Fatal Collisions","2015","2015","3","Tuesday","Number","23"
"ROA18C1","Fatal Collisions","2015","2015","4","Wednesday","Number","20"
"ROA18C1","Fatal Collisions","2015","2015","5","Thursday","Number","19"
"ROA18C1","Fatal Collisions","2015","2015","6","Friday","Number","22"
"ROA18C1","Fatal Collisions","2015","2015","7","Saturday","Number","22"
"ROA18C1","Fatal Collisions","2016","2016","-","All days","Number","174"
"ROA18C1","Fatal Collisions","2016","2016","1","Sunday","Number","34"
"ROA18C1","Fatal Collisions","2016","2016","2","Monday","Number","19"
"ROA18C1","Fatal Collisions","2016","2016","3","Tuesday","Number","26"
"ROA18C1","Fatal Collisions","2016","2016","4","Wednesday","Number","23"
"ROA18C1","Fatal Collisions","2016","2016","5","Thursday","Number","30"
"ROA18C1","Fatal Collisions","2016","2016","6","Friday","Number","15"
"ROA18C1","Fatal Collisions","2016","2016","7","Saturday","Number","27"
"ROA18C1","Fatal Collisions","2017","2017","-","All days","Number","141"
"ROA18C1","Fatal Collisions","2017","2017","1","Sunday","Number","30"
"ROA18C1","Fatal Collisions","2017","2017","2","Monday","Number","30"
"ROA18C1","Fatal Collisions","2017","2017","3","Tuesday","Number","17"
"ROA18C1","Fatal Collisions","2017","2017","4","Wednesday","Number","16"
"ROA18C1","Fatal Collisions","2017","2017","5","Thursday","Number","9"
"ROA18C1","Fatal Collisions","2017","2017","6","Friday","Number","17"
"ROA18C1","Fatal Collisions","2017","2017","7","Saturday","Number","22"
"ROA18C1","Fatal Collisions","2018","2018","-","All days","Number","132"
