"STATISTIC","Statistic Label","TLIST(A1)","Year","C03119V03771","Hour of Day","UNIT","VALUE"
"ROA19C1","Fatal Collisions","2005","2005","-","All hours","Number","360"
"ROA19C1","Fatal Collisions","2005","2005","01","12 midnight","Number","24"
"ROA19C1","Fatal Collisions","2005","2005","02","1","Number","15"
"ROA19C1","Fatal Collisions","2005","2005","03","2","Number","15"
"ROA19C1","Fatal Collisions","2005","2005","04","3","Number","18"
"ROA19C1","Fatal Collisions","2005","2005","05","4","Number","16"
"ROA19C1","Fatal Collisions","2005","2005","06","5","Number","8"
"ROA19C1","Fatal Collisions","2005","2005","07","6","Number","9"
"ROA19C1","Fatal Collisions","2005","2005","08","7","Number","18"
"ROA19C1","Fatal Collisions","2005","2005","09","8","Number","17"
"ROA19C1","Fatal Collisions","2005","2005","10","9","Number","12"
"ROA19C1","Fatal Collisions","2005","2005","11","10","Number","6"
"ROA19C1","Fatal Collisions","2005","2005","12","11","Number","9"
"ROA19C1","Fatal Collisions","2005","2005","13","12","Number","13"
"ROA19C1","Fatal Collisions","2005","2005","14","13","Number","14"
"ROA19C1","Fatal Collisions","2005","2005","15","14","Number","11"
"ROA19C1","Fatal Collisions","2005","2005","16","15","Number","19"
"ROA19C1","Fatal Collisions","2005","2005","17","16","Number","18"
"ROA19C1","Fatal Collisions","2005","2005","18","17","Number","21"
"ROA19C1","Fatal Collisions","2005","2005","19","18","Number","22"
"ROA19C1","Fatal Collisions","2005","2005","20","19","Number","18"
"ROA19C1","Fatal Collisions","2005","2005","21","20","Number","19"
"ROA19C1","Fatal Collisions","2005","2005","22","21","Number","12"
"ROA19C1","Fatal Collisions","2005","2005","23","22","Number","17"
"ROA19C1","Fatal Collisions","2005","2005","24","23","Number","9"
"ROA19C1","Fatal Collisions","2006","2006","-","All hours","Number","321"
"ROA19C1","Fatal Collisions","2006","2006","01","12 midnight","Number","20"
"ROA19C1","Fatal Collisions","2006","2006","02","1","Number","9"
"ROA19C1","Fatal Collisions","2006","2006","03","2","Number","11"
"ROA19C1","Fatal Collisions","2006","2006","04","3","Number","19"
"ROA19C1","Fatal Collisions","2006","2006","05","4","Number","11"
"ROA19C1","Fatal Collisions","2006","2006","06","5","Number","13"
"ROA19C1","Fatal Collisions","2006","2006","07","6","Number","6"
"ROA19C1","Fatal Collisions","2006","2006","08","7","Number","12"
"ROA19C1","Fatal Collisions","2006","2006","09","8","Number","17"
"ROA19C1","Fatal Collisions","2006","2006","10","9","Number","13"
"ROA19C1","Fatal Collisions","2006","2006","11","10","Number","6"
"ROA19C1","Fatal Collisions","2006","2006","12","11","Number","11"
"ROA19C1","Fatal Collisions","2006","2006","13","12","Number","8"
"ROA19C1","Fatal Collisions","2006","2006","14","13","Number","15"
"ROA19C1","Fatal Collisions","2006","2006","15","14","Number","18"
"ROA19C1","Fatal Collisions","2006","2006","16","15","Number","12"
"ROA19C1","Fatal Collisions","2006","2006","17","16","Number","17"
"ROA19C1","Fatal Collisions","2006","2006","18","17","Number","15"
"ROA19C1","Fatal Collisions","2006","2006","19","18","Number","21"
"ROA19C1","Fatal Collisions","2006","2006","20","19","Number","12"
"ROA19C1","Fatal Collisions","2006","2006","21","20","Number","13"
"ROA19C1","Fatal Collisions","2006","2006","22","21","Number","17"
"ROA19C1","Fatal Collisions","2006","2006","23","22","Number","12"
"ROA19C1","Fatal Collisions","2006","2006","24","23","Number","13"
"ROA19C1","Fatal Collisions","2007","2007","-","All hours","Number","309"
"ROA19C1","Fatal Collisions","2007","2007","01","12 midnight","Number","8"
"ROA19C1","Fatal Collisions","2007","2007","02","1","Number","15"
"ROA19C1","Fatal Collisions","2007","2007","03","2","Number","15"
"ROA19C1","Fatal Collisions","2007","2007","04","3","Number","12"
"ROA19C1","Fatal Collisions","2007","2007","05","4","Number","4"
"ROA19C1","Fatal Collisions","2007","2007","06","5","Number","7"
"ROA19C1","Fatal Collisions","2007","2007","07","6","Number","6"
"ROA19C1","Fatal Collisions","2007","2007","08","7","Number","22"
"ROA19C1","Fatal Collisions","2007","2007","09","8","Number","14"
"ROA19C1","Fatal Collisions","2007","2007","10","9","Number","19"
"ROA19C1","Fatal Collisions","2007","2007","11","10","Number","7"
"ROA19C1","Fatal Collisions","2007","2007","12","11","Number","11"
"ROA19C1","Fatal Collisions","2007","2007","13","12","Number","10"
"ROA19C1","Fatal Collisions","2007","2007","14","13","Number","8"
"ROA19C1","Fatal Collisions","2007","2007","15","14","Number","16"
"ROA19C1","Fatal Collisions","2007","2007","16","15","Number","16"
"ROA19C1","Fatal Collisions","2007","2007","17","16","Number","13"
