"C02451V02968","County","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All Counties","2005","2005","ROA20C1","Fatal Collisions","Number","360"
"-","All Counties","2005","2005","ROA20C2","Injury Collisions","Number","6173"
"-","All Counties","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","6533"
"-","All Counties","2005","2005","ROA20C4","Killed Casualties","Number","396"
"-","All Counties","2005","2005","ROA20C5","Injured Casualties","Number","9318"
"-","All Counties","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","9714"
"-","All Counties","2006","2006","ROA20C1","Fatal Collisions","Number","321"
"-","All Counties","2006","2006","ROA20C2","Injury Collisions","Number","5697"
"-","All Counties","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","6018"
"-","All Counties","2006","2006","ROA20C4","Killed Casualties","Number","365"
"-","All Counties","2006","2006","ROA20C5","Injured Casualties","Number","8575"
"-","All Counties","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","8940"
"-","All Counties","2007","2007","ROA20C1","Fatal Collisions","Number","309"
"-","All Counties","2007","2007","ROA20C2","Injury Collisions","Number","5158"
"-","All Counties","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","5467"
"-","All Counties","2007","2007","ROA20C4","Killed Casualties","Number","338"
"-","All Counties","2007","2007","ROA20C5","Injured Casualties","Number","7806"
"-","All Counties","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","8144"
"-","All Counties","2008","2008","ROA20C1","Fatal Collisions","Number","254"
"-","All Counties","2008","2008","ROA20C2","Injury Collisions","Number","6482"
"-","All Counties","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","6736"
"-","All Counties","2008","2008","ROA20C4","Killed Casualties","Number","279"
"-","All Counties","2008","2008","ROA20C5","Injured Casualties","Number","9758"
"-","All Counties","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","10037"
"-","All Counties","2009","2009","ROA20C1","Fatal Collisions","Number","220"
"-","All Counties","2009","2009","ROA20C2","Injury Collisions","Number","6395"
"-","All Counties","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","6615"
"-","All Counties","2009","2009","ROA20C4","Killed Casualties","Number","238"
"-","All Counties","2009","2009","ROA20C5","Injured Casualties","Number","9742"
"-","All Counties","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","9980"
"-","All Counties","2010","2010","ROA20C1","Fatal Collisions","Number","185"
"-","All Counties","2010","2010","ROA20C2","Injury Collisions","Number","5595"
"-","All Counties","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","5780"
"-","All Counties","2010","2010","ROA20C4","Killed Casualties","Number","212"
"-","All Counties","2010","2010","ROA20C5","Injured Casualties","Number","8270"
"-","All Counties","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","8482"
"-","All Counties","2011","2011","ROA20C1","Fatal Collisions","Number","172"
"-","All Counties","2011","2011","ROA20C2","Injury Collisions","Number","5058"
"-","All Counties","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","5230"
"-","All Counties","2011","2011","ROA20C4","Killed Casualties","Number","186"
"-","All Counties","2011","2011","ROA20C5","Injured Casualties","Number","7235"
