STATISTIC,Statistic Label,TLIST(A1),Year,C01885V02316,Month of Year,UNIT,VALUE
ROA17C1,Fatal Collisions,2005,2005,-,All months,Number,360.0
ROA17C1,Fatal Collisions,2005,2005,01,January,Number,31.0
ROA17C1,Fatal Collisions,2005,2005,02,February,Number,34.0
ROA17C1,Fatal Collisions,2005,2005,03,March,Number,23.0
ROA17C1,Fatal Collisions,2005,2005,04,April,Number,20.0
ROA17C1,Fatal Collisions,2005,2005,05,May,Number,36.0
ROA17C1,Fatal Collisions,2005,2005,06,June,Number,20.0
ROA17C1,Fatal Collisions,2005,2005,07,July,Number,38.0
ROA17C1,Fatal Collisions,2005,2005,08,August,Number,23.0
ROA17C1,Fatal Collisions,2005,2005,09,September,Number,29.0
ROA17C1,Fatal Collisions,2005,2005,10,October,Number,38.0
ROA17C1,Fatal Collisions,2005,2005,11,November,Number,31.0
ROA17C1,Fatal Collisions,2005,2005,12,December,Number,37.0
ROA17C1,Fatal Collisions,2006,2006,-,All months,Number,321.0
ROA17C1,Fatal Collisions,2006,2006,01,January,Number,34.0
ROA17C1,Fatal Collisions,2006,2006,02,February,Number,26.0
ROA17C1,Fatal Collisions,2006,2006,03,March,Number,25.0
ROA17C1,Fatal Collisions,2006,2006,04,April,Number,29.0
ROA17C1,Fatal Collisions,2006,2006,05,May,Number,25.0
ROA17C1,Fatal Collisions,2006,2006,06,June,Number,31.0
ROA17C1,Fatal Collisions,2006,2006,07,July,Number,33.0
ROA17C1,Fatal Collisions,2006,2006,08,August,Number,17.0
ROA17C1,Fatal Collisions,2006,2006,09,September,Number,21.0
ROA17C1,Fatal Collisions,2006,2006,10,October,Number,25.0
ROA17C1,Fatal Collisions,2006,2006,11,November,Number,24.0
ROA17C1,Fatal Collisions,2006,2006,12,December,Number,31.0
ROA17C1,Fatal Collisions,2007,2007,-,All months,Number,309.0
ROA17C1,Fatal Collisions,2007,2007,01,January,Number,21.0
ROA17C1,Fatal Collisions,2007,2007,02,February,Number,24.0
ROA17C1,Fatal Collisions,2007,2007,03,March,Number,32.0
ROA17C1,Fatal Collisions,2007,2007,04,April,Number,25.0
ROA17C1,Fatal Collisions,2007,2007,05,May,Number,19.0
ROA17C1,Fatal Collisions,2007,2007,06,June,Number,28.0
ROA17C1,Fatal Collisions,2007,2007,07,July,Number,30.0
ROA17C1,Fatal Collisions,2007,2007,08,August,Number,24.0
ROA17C1,Fatal Collisions,2007,2007,09,September,Number,26.0
ROA17C1,Fatal Collisions,2007,2007,10,October,Number,24.0
ROA17C1,Fatal Collisions,2007,2007,11,November,Number,20.0
ROA17C1,Fatal Collisions,2007,2007,12,December,Number,36.0
ROA17C1,Fatal Collisions,2008,2008,-,All months,Number,254.0
ROA17C1,Fatal Collisions,2008,2008,01,January,Number,25.0
ROA17C1,Fatal Collisions,2008,2008,02,February,Number,27.0
ROA17C1,Fatal Collisions,2008,2008,03,March,Number,18.0
ROA17C1,Fatal Collisions,2008,2008,04,April,Number,19.0
ROA17C1,Fatal Collisions,2008,2008,05,May,Number,16.0
ROA17C1,Fatal Collisions,2008,2008,06,June,Number,23.0
ROA17C1,Fatal Collisions,2008,2008,07,July,Number,24.0
ROA17C1,Fatal Collisions,2008,2008,08,August,Number,25.0
ROA17C1,Fatal Collisions,2008,2008,09,September,Number,19.0
ROA17C1,Fatal Collisions,2008,2008,10,October,Number,21.0
ROA17C1,Fatal Collisions,2008,2008,11,November,Number,20.0
ROA17C1,Fatal Collisions,2008,2008,12,December,Number,17.0
ROA17C1,Fatal Collisions,2009,2009,-,All months,Number,220.0
ROA17C1,Fatal Collisions,2009,2009,01,January,Number,17.0
ROA17C1,Fatal Collisions,2009,2009,02,February,Number,12.0
ROA17C1,Fatal Collisions,2009,2009,03,March,Number,22.0
ROA17C1,Fatal Collisions,2009,2009,04,April,Number,19.0
ROA17C1,Fatal Collisions,2009,2009,05,May,Number,25.0
ROA17C1,Fatal Collisions,2009,2009,06,June,Number,15.0
ROA17C1,Fatal Collisions,2009,2009,07,July,Number,17.0
ROA17C1,Fatal Collisions,2009,2009,08,August,Number,19.0
ROA17C1,Fatal Collisions,2009,2009,09,September,Number,14.0
ROA17C1,Fatal Collisions,2009,2009,10,October,Number,21.0
ROA17C1,Fatal Collisions,2009,2009,11,November,Number,21.0
ROA17C1,Fatal Collisions,2009,2009,12,December,Number,18.0
ROA17C1,Fatal Collisions,2010,2010,-,All months,Number,185.0
ROA17C1,Fatal Collisions,2010,2010,01,January,Number,14.0
ROA17C1,Fatal Collisions,2010,2010,02,February,Number,14.0
ROA17C1,Fatal Collisions,2010,2010,03,March,Number,12.0
ROA17C1,Fatal Collisions,2010,2010,04,April,Number,17.0
ROA17C1,Fatal Collisions,2010,2010,05,May,Number,25.0
ROA17C1,Fatal Collisions,2010,2010,06,June,Number,11.0
ROA17C1,Fatal Collisions,2010,2010,07,July,Number,13.0
ROA17C1,Fatal Collisions,2010,2010,08,August,Number,15.0
ROA17C1,Fatal Collisions,2010,2010,09,September,Number,11.0
ROA17C1,Fatal Collisions,2010,2010,10,October,Number,34.0
ROA17C1,Fatal Collisions,2010,2010,11,November,Number,13.0
ROA17C1,Fatal Collisions,2010,2010,12,December,Number,6.0
ROA17C1,Fatal Collisions,2011,2011,-,All months,Number,172.0
ROA17C1,Fatal Collisions,2011,2011,01,January,Number,16.0
ROA17C1,Fatal Collisions,2011,2011,02,February,Number,18.0
